HomeTeam,AwayTeam,Div,season,Date,FTR,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
Augsburg,Greuther Furth,D2,2010,08/04/11,D,0,0,0,0,D,,,,,,,,,,,,
Duisburg,Aachen,D2,2010,08/04/11,H,3,2,1,1,D,,,,,,,,,,,,
Osnabruck,Bielefeld,D2,2010,08/04/11,D,0,0,0,0,D,,,,,,,,,,,,
Munich 1860,Cottbus,D2,2010,09/04/11,H,4,0,2,0,H,,,,,,,,,,,,
Oberhausen,Fortuna Dusseldorf,D2,2010,09/04/11,A,1,2,0,0,D,,,,,,,,,,,,
Erzgebirge Aue,Karlsruhe,D2,2010,10/04/11,D,1,1,0,1,A,,,,,,,,,,,,
Paderborn,Ingolstadt,D2,2010,10/04/11,D,1,1,0,0,D,,,,,,,,,,,,
Union Berlin,Frankfurt FSV,D2,2010,10/04/11,H,2,0,0,0,D,,,,,,,,,,,,
Bochum,Hertha,D2,2010,11/04/11,A,0,2,0,1,A,,,,,,,,,,,,
Fortuna Dusseldorf,Union Berlin,D2,2010,15/04/11,H,3,0,2,0,H,,,,,,,,,,,,
Frankfurt FSV,Munich 1860,D2,2010,15/04/11,H,2,1,0,1,A,,,,,,,,,,,,
Ingolstadt,Bochum,D2,2010,15/04/11,H,3,0,2,0,H,,,,,,,,,,,,
Cottbus,Duisburg,D2,2010,16/04/11,H,3,1,0,0,D,,,,,,,,,,,,
Hertha,Osnabruck,D2,2010,16/04/11,H,4,0,2,0,H,,,,,,,,,,,,
Aachen,Erzgebirge Aue,D2,2010,17/04/11,A,1,5,1,1,D,,,,,,,,,,,,
Bielefeld,Oberhausen,D2,2010,17/04/11,D,3,3,0,1,A,,,,,,,,,,,,
Greuther Furth,Paderborn,D2,2010,17/04/11,H,2,0,0,0,D,,,,,,,,,,,,
